ball_x,ball_y,ball_vx,ball_vy,paddle_y
242,452,4,-4,270
246,448,4,-4,268
250,444,4,-4,265
254,440,4,-4,264
258,436,4,-4,262
262,432,4,-4,261
266,428,4,-4,259
270,424,4,-4,258
274,420,4,-4,255
278,416,4,-4,254
282,412,4,-4,252
286,408,4,-4,250
290,404,4,-4,249
294,400,4,-4,247
298,396,4,-4,245
302,392,4,-4,243
306,388,4,-4,242
310,384,4,-4,240
314,380,4,-4,239
318,376,4,-4,238
322,372,4,-4,236
326,368,4,-4,234
330,364,4,-4,232
334,360,4,-4,230
338,356,4,-4,229
342,352,4,-4,228
346,348,4,-4,227
350,344,4,-4,225
354,340,4,-4,224
358,336,4,-4,223
362,332,4,-4,221
366,328,4,-4,219
370,324,4,-4,217
374,320,4,-4,216
378,316,4,-4,215
382,312,4,-4,214
386,308,4,-4,212
390,304,4,-4,211
394,300,4,-4,210
398,296,4,-4,208
402,292,4,-4,206
406,288,4,-4,204
410,284,4,-4,201
414,280,4,-4,198
418,276,4,-4,196
422,272,4,-4,194
426,268,4,-4,189
430,264,4,-4,186
434,260,4,-4,183
438,256,4,-4,179
442,252,4,-4,177
446,248,4,-4,173
450,244,4,-4,171
454,240,4,-4,168
458,236,4,-4,165
462,232,4,-4,163
466,228,4,-4,162
470,224,4,-4,159
474,220,4,-4,157
478,216,4,-4,154
482,212,4,-4,151
486,208,4,-4,148
490,204,4,-4,145
494,200,4,-4,144
498,196,4,-4,143
502,192,4,-4,141
506,188,4,-4,138
510,184,4,-4,136
514,180,4,-4,133
518,176,4,-4,132
522,172,4,-4,129
526,168,4,-4,126
530,164,4,-4,124
534,160,4,-4,122
538,156,4,-4,119
542,152,4,-4,117
546,148,4,-4,114
550,144,4,-4,112
554,140,4,-4,108
558,136,4,-4,105
562,132,4,-4,102
566,128,4,-4,100
570,124,4,-4,97
574,120,4,-4,96
578,116,4,-4,93
582,112,4,-4,90
586,108,4,-4,89
590,104,4,-4,87
594,100,4,-4,86
598,96,4,-4,85
602,92,4,-4,85
606,88,4,-4,84
610,84,4,-4,82
614,80,4,-4,80
618,76,4,-4,78
622,72,4,-4,77
626,68,4,-4,75
630,64,4,-4,74
634,60,4,-4,73
638,56,4,-4,72
642,52,4,-4,71
646,48,4,-4,70
650,44,4,-4,69
654,40,4,-4,69
658,36,4,-4,69
662,32,4,-4,68
666,28,4,-4,68
670,24,4,-4,68
674,20,4,-4,67
678,24,4,4,67
682,28,4,4,67
686,32,4,4,67
690,36,4,4,67
694,40,4,4,67
698,44,4,4,67
702,48,4,4,67
706,52,4,4,67
710,56,4,4,67
714,60,4,4,67
718,64,4,4,67
722,68,4,4,67
726,72,4,4,67
730,76,4,4,67
734,80,4,4,67
738,84,4,4,67
742,88,4,4,67
746,92,4,4,67
750,96,4,4,67
754,100,4,4,67
758,104,4,4,67
762,108,4,4,67
766,112,4,4,67
770,116,4,4,67
770,116,-4,4,67
766,120,-4,4,67
762,124,-4,4,67
758,128,-4,4,67
754,132,-4,4,67
750,136,-4,4,67
746,140,-4,4,67
742,144,-4,4,68
738,148,-4,4,68
734,152,-4,4,68
730,156,-4,4,68
726,160,-4,4,69
722,164,-4,4,69
718,168,-4,4,69
714,172,-4,4,69
710,176,-4,4,69
706,180,-4,4,70
702,184,-4,4,70
698,188,-4,4,70
694,192,-4,4,72
690,196,-4,4,74
686,200,-4,4,76
682,204,-4,4,77
678,208,-4,4,80
674,212,-4,4,82
670,216,-4,4,83
666,220,-4,4,86
662,224,-4,4,88
658,228,-4,4,90
654,232,-4,4,93
650,236,-4,4,94
646,240,-4,4,96
642,244,-4,4,98
638,248,-4,4,101
634,252,-4,4,104
630,256,-4,4,107
626,260,-4,4,110
622,264,-4,4,112
618,268,-4,4,117
614,272,-4,4,120
610,276,-4,4,124
606,280,-4,4,128
602,284,-4,4,132
598,288,-4,4,135
594,292,-4,4,139
590,296,-4,4,142
586,300,-4,4,147
582,304,-4,4,150
578,308,-4,4,154
574,312,-4,4,157
570,316,-4,4,160
566,320,-4,4,163
562,324,-4,4,166
558,328,-4,4,169
554,332,-4,4,172
550,336,-4,4,176
546,340,-4,4,178
542,344,-4,4,181
538,348,-4,4,184
534,352,-4,4,187
530,356,-4,4,188
526,360,-4,4,191
522,364,-4,4,194
518,368,-4,4,195
514,372,-4,4,197
510,376,-4,4,199
506,380,-4,4,201
502,384,-4,4,204
498,388,-4,4,205
494,392,-4,4,207
490,396,-4,4,210
486,400,-4,4,213
482,404,-4,4,215
478,408,-4,4,218
474,412,-4,4,220
470,416,-4,4,223
466,420,-4,4,225
462,424,-4,4,227
458,428,-4,4,231
454,432,-4,4,232
450,436,-4,4,234
446,440,-4,4,236
442,444,-4,4,238
438,448,-4,4,240
434,452,-4,4,241
430,456,-4,4,242
426,460,-4,4,243
422,464,-4,4,243
418,468,-4,4,244
414,472,-4,4,245
410,476,-4,4,247
406,480,-4,4,247
402,484,-4,4,248
398,488,-4,4,248
394,492,-4,4,248
390,496,-4,4,248
386,500,-4,4,248
382,504,-4,4,248
378,508,-4,4,248
374,512,-4,4,248
370,516,-4,4,248
366,520,-4,4,248
362,524,-4,4,248
358,528,-4,4,248
354,532,-4,4,248
350,536,-4,4,248
346,540,-4,4,248
342,544,-4,4,248
338,548,-4,4,248
334,552,-4,4,248
330,556,-4,4,248
326,560,-4,4,248
322,564,-4,4,248
318,568,-4,4,248
314,572,-4,4,248
310,576,-4,4,248
306,580,-4,4,248
302,576,-4,-4,248
298,572,-4,-4,248
294,568,-4,-4,248
290,564,-4,-4,248
286,560,-4,-4,248
282,556,-4,-4,248
278,552,-4,-4,248
274,548,-4,-4,248
270,544,-4,-4,248
266,540,-4,-4,248
262,536,-4,-4,248
258,532,-4,-4,248
254,528,-4,-4,248
250,524,-4,-4,248
246,520,-4,-4,248
242,516,-4,-4,248
238,512,-4,-4,248
234,508,-4,-4,248
230,504,-4,-4,248
226,500,-4,-4,248
222,496,-4,-4,248
218,492,-4,-4,248
214,488,-4,-4,248
210,484,-4,-4,248
206,480,-4,-4,248
202,476,-4,-4,248
198,472,-4,-4,248
194,468,-4,-4,248
190,464,-4,-4,248
186,460,-4,-4,248
182,456,-4,-4,248
178,452,-4,-4,248
174,448,-4,-4,248
170,444,-4,-4,248
166,440,-4,-4,248
162,436,-4,-4,248
158,432,-4,-4,248
154,428,-4,-4,248
150,424,-4,-4,248
146,420,-4,-4,248
142,416,-4,-4,248
138,412,-4,-4,248
134,408,-4,-4,248
130,404,-4,-4,248
126,400,-4,-4,248
122,396,-4,-4,248
118,392,-4,-4,248
114,388,-4,-4,248
110,384,-4,-4,248
106,380,-4,-4,248
102,376,-4,-4,248
98,372,-4,-4,248
94,368,-4,-4,248
90,364,-4,-4,248
86,360,-4,-4,248
82,356,-4,-4,248
78,352,-4,-4,248
74,348,-4,-4,248
70,344,-4,-4,248
66,340,-4,-4,248
62,336,-4,-4,248
58,332,-4,-4,248
54,328,-4,-4,248
50,324,-4,-4,248
46,320,-4,-4,248
42,316,-4,-4,248
38,312,-4,-4,248
34,308,-4,-4,248
30,304,-4,-4,248
26,300,-4,-4,248
22,296,-4,-4,248
26,292,4,-4,248
30,288,4,-4,248
34,284,4,-4,248
38,280,4,-4,248
42,276,4,-4,248
46,272,4,-4,248
50,268,4,-4,248
54,264,4,-4,248
58,260,4,-4,248
62,256,4,-4,248
66,252,4,-4,248
70,248,4,-4,248
74,244,4,-4,248
78,240,4,-4,248
82,236,4,-4,248
86,232,4,-4,248
90,228,4,-4,248
94,224,4,-4,248
98,220,4,-4,248
102,216,4,-4,248
106,212,4,-4,248
110,208,4,-4,248
114,204,4,-4,248
118,200,4,-4,248
122,196,4,-4,248
126,192,4,-4,248
130,188,4,-4,248
134,184,4,-4,248
138,180,4,-4,248
142,176,4,-4,248
146,172,4,-4,248
150,168,4,-4,248
154,164,4,-4,248
158,160,4,-4,248
162,156,4,-4,248
166,152,4,-4,248
170,148,4,-4,248
174,144,4,-4,248
178,140,4,-4,248
182,136,4,-4,248
186,132,4,-4,248
190,128,4,-4,248
194,124,4,-4,248
198,120,4,-4,248
202,116,4,-4,248
206,112,4,-4,248
210,108,4,-4,248
214,104,4,-4,248
218,100,4,-4,248
222,96,4,-4,248
226,92,4,-4,248
230,88,4,-4,248
234,84,4,-4,248
238,80,4,-4,248
242,76,4,-4,248
246,72,4,-4,248
250,68,4,-4,248
254,64,4,-4,248
258,60,4,-4,248
262,56,4,-4,248
266,52,4,-4,248
270,48,4,-4,248
274,44,4,-4,248
278,40,4,-4,248
282,36,4,-4,248
286,32,4,-4,248
290,28,4,-4,248
294,24,4,-4,248
298,20,4,-4,248
302,24,4,4,248
306,28,4,4,248
310,32,4,4,248
314,36,4,4,248
318,40,4,4,248
322,44,4,4,248
326,48,4,4,248
330,52,4,4,248
334,56,4,4,248
338,60,4,4,248
342,64,4,4,248
346,68,4,4,248
350,72,4,4,248
354,76,4,4,248
358,80,4,4,248
362,84,4,4,248
366,88,4,4,248
370,92,4,4,248
374,96,4,4,248
378,100,4,4,248
382,104,4,4,248
386,108,4,4,248
390,112,4,4,248
394,116,4,4,248
398,120,4,4,248
402,124,4,4,248
406,128,4,4,248
410,132,4,4,253
414,136,4,4,257
418,140,4,4,261
422,144,4,4,265
426,148,4,4,269
430,152,4,4,271
434,156,4,4,276
438,160,4,4,281
442,164,4,4,285
446,168,4,4,288
450,172,4,4,292
454,176,4,4,294
458,180,4,4,297
462,184,4,4,298
466,188,4,4,301
470,192,4,4,303
474,196,4,4,305
478,200,4,4,308
482,204,4,4,310
486,208,4,4,312
490,212,4,4,313
494,216,4,4,315
498,220,4,4,317
502,224,4,4,319
506,228,4,4,322
510,232,4,4,325
514,236,4,4,328
518,240,4,4,330
522,244,4,4,332
526,248,4,4,335
530,252,4,4,338
534,256,4,4,340
538,260,4,4,342
542,264,4,4,345
546,268,4,4,346
550,272,4,4,348
554,276,4,4,351
558,280,4,4,354
562,284,4,4,355
566,288,4,4,358
570,292,4,4,360
574,296,4,4,362
578,300,4,4,365
582,304,4,4,366
586,308,4,4,368
590,312,4,4,370
594,316,4,4,371
598,320,4,4,373
602,324,4,4,375
606,328,4,4,377
610,332,4,4,379
614,336,4,4,381
618,340,4,4,384
622,344,4,4,386
626,348,4,4,388
630,352,4,4,398
634,356,4,4,402
638,360,4,4,406
642,364,4,4,409
646,368,4,4,412
650,372,4,4,415
654,376,4,4,417
658,380,4,4,418
662,384,4,4,419
666,388,4,4,420
670,392,4,4,421
674,396,4,4,421
678,400,4,4,421
682,404,4,4,422
686,408,4,4,422
690,412,4,4,422
694,416,4,4,422
698,420,4,4,422
702,424,4,4,422
706,428,4,4,422
710,432,4,4,422
714,436,4,4,422
718,440,4,4,422
722,444,4,4,422
726,448,4,4,422
730,452,4,4,422
734,456,4,4,422
738,460,4,4,422
742,464,4,4,422
746,468,4,4,422
750,472,4,4,422
754,476,4,4,422
758,480,4,4,422
762,484,4,4,422
766,488,4,4,422
770,492,4,4,422
770,492,-4,4,422
766,496,-4,4,422
762,500,-4,4,423
758,504,-4,4,423
754,508,-4,4,423
750,512,-4,4,424
746,516,-4,4,424
742,520,-4,4,424
738,524,-4,4,424
734,528,-4,4,424
730,532,-4,4,424
726,536,-4,4,424
722,540,-4,4,424
718,544,-4,4,424
714,548,-4,4,424
710,552,-4,4,424
706,556,-4,4,424
702,560,-4,4,424
698,564,-4,4,424
694,568,-4,4,424
690,572,-4,4,422
686,576,-4,4,422
682,580,-4,4,421
678,576,-4,-4,420
674,572,-4,-4,417
670,568,-4,-4,414
666,564,-4,-4,412
662,560,-4,-4,410
658,556,-4,-4,410
654,552,-4,-4,409
650,548,-4,-4,407
646,544,-4,-4,405
642,540,-4,-4,403
638,536,-4,-4,402
634,532,-4,-4,401
630,528,-4,-4,399
626,524,-4,-4,397
622,520,-4,-4,394
618,516,-4,-4,391
614,512,-4,-4,389
610,508,-4,-4,388
606,504,-4,-4,386
602,500,-4,-4,385
598,496,-4,-4,382
594,492,-4,-4,380
590,488,-4,-4,378
586,484,-4,-4,378
582,480,-4,-4,375
578,476,-4,-4,374
574,472,-4,-4,373
570,468,-4,-4,372
566,464,-4,-4,370
562,460,-4,-4,370
558,456,-4,-4,368
554,452,-4,-4,366
550,448,-4,-4,364
546,444,-4,-4,362
542,440,-4,-4,356
538,436,-4,-4,353
534,432,-4,-4,351
530,428,-4,-4,349
526,424,-4,-4,348
522,420,-4,-4,345
518,416,-4,-4,342
514,412,-4,-4,340
510,408,-4,-4,338
506,404,-4,-4,337
502,400,-4,-4,335
498,396,-4,-4,333
494,392,-4,-4,330
490,388,-4,-4,328
486,384,-4,-4,326
482,380,-4,-4,323
478,376,-4,-4,322
474,372,-4,-4,318
470,368,-4,-4,316
466,364,-4,-4,313
462,360,-4,-4,312
458,356,-4,-4,311
454,352,-4,-4,308
450,348,-4,-4,299
446,344,-4,-4,295
442,340,-4,-4,292
438,336,-4,-4,289
434,332,-4,-4,285
430,328,-4,-4,283
426,324,-4,-4,280
422,320,-4,-4,277
418,316,-4,-4,276
414,312,-4,-4,273
410,308,-4,-4,272
406,304,-4,-4,269
402,300,-4,-4,267
398,296,-4,-4,265
394,292,-4,-4,263
390,288,-4,-4,262
386,284,-4,-4,261
382,280,-4,-4,259
378,276,-4,-4,258
374,272,-4,-4,257
370,268,-4,-4,255
366,264,-4,-4,254
362,260,-4,-4,254
358,256,-4,-4,254
354,252,-4,-4,254
350,248,-4,-4,254
346,244,-4,-4,254
342,240,-4,-4,254
338,236,-4,-4,254
334,232,-4,-4,254
330,228,-4,-4,254
326,224,-4,-4,254
322,220,-4,-4,254
318,216,-4,-4,254
314,212,-4,-4,254
310,208,-4,-4,254
306,204,-4,-4,254
302,200,-4,-4,254
298,196,-4,-4,254
294,192,-4,-4,254
290,188,-4,-4,254
286,184,-4,-4,254
282,180,-4,-4,254
278,176,-4,-4,254
274,172,-4,-4,254
270,168,-4,-4,254
266,164,-4,-4,254
262,160,-4,-4,254
258,156,-4,-4,254
254,152,-4,-4,254
250,148,-4,-4,254
246,144,-4,-4,254
242,140,-4,-4,254
238,136,-4,-4,254
234,132,-4,-4,254
230,128,-4,-4,254
226,124,-4,-4,254
222,120,-4,-4,254
218,116,-4,-4,254
214,112,-4,-4,254
210,108,-4,-4,254
206,104,-4,-4,254
202,100,-4,-4,254
198,96,-4,-4,254
194,92,-4,-4,254
190,88,-4,-4,254
186,84,-4,-4,254
182,80,-4,-4,254
178,76,-4,-4,254
174,72,-4,-4,254
170,68,-4,-4,254
166,64,-4,-4,254
162,60,-4,-4,254
158,56,-4,-4,254
154,52,-4,-4,254
150,48,-4,-4,254
146,44,-4,-4,254
142,40,-4,-4,254
138,36,-4,-4,254
134,32,-4,-4,254
130,28,-4,-4,254
126,24,-4,-4,254
122,20,-4,-4,254
118,24,-4,4,254
114,28,-4,4,254
110,32,-4,4,254
106,36,-4,4,254
102,40,-4,4,254
98,44,-4,4,254
94,48,-4,4,254
90,52,-4,4,254
86,56,-4,4,254
82,60,-4,4,254
78,64,-4,4,254
74,68,-4,4,254
70,72,-4,4,254
66,76,-4,4,254
62,80,-4,4,254
58,84,-4,4,254
54,88,-4,4,254
50,92,-4,4,254
46,96,-4,4,254
42,100,-4,4,254
38,104,-4,4,254
34,108,-4,4,254
30,112,-4,4,254
26,116,-4,4,254
22,120,-4,4,254
26,124,4,4,254
30,128,4,4,254
34,132,4,4,254
38,136,4,4,254
42,140,4,4,254
46,144,4,4,254
50,148,4,4,254
54,152,4,4,254
58,156,4,4,254
62,160,4,4,254
66,164,4,4,254
70,168,4,4,254
74,172,4,4,254
78,176,4,4,254
82,180,4,4,254
86,184,4,4,254
90,188,4,4,254
94,192,4,4,254
98,196,4,4,254
102,200,4,4,254
106,204,4,4,254
110,208,4,4,254
114,212,4,4,254
118,216,4,4,254
122,220,4,4,254
126,224,4,4,254
130,228,4,4,254
134,232,4,4,254
138,236,4,4,254
142,240,4,4,254
146,244,4,4,254
150,248,4,4,254
154,252,4,4,254
158,256,4,4,254
162,260,4,4,254
166,264,4,4,254
170,268,4,4,254
174,272,4,4,254
178,276,4,4,254
182,280,4,4,254
186,284,4,4,254
190,288,4,4,254
194,292,4,4,254
198,296,4,4,254
202,300,4,4,254
206,304,4,4,256
210,308,4,4,257
214,312,4,4,258
218,316,4,4,258
222,320,4,4,260
226,324,4,4,261
230,328,4,4,262
234,332,4,4,265
238,336,4,4,268
242,340,4,4,271
246,344,4,4,275
250,348,4,4,278
254,352,4,4,281
258,356,4,4,284
262,360,4,4,287
266,364,4,4,292
270,368,4,4,296
274,372,4,4,299
278,376,4,4,302
282,380,4,4,303
286,384,4,4,306
290,388,4,4,307
294,392,4,4,310
298,396,4,4,311
302,400,4,4,312
306,404,4,4,313
310,408,4,4,315
314,412,4,4,316
318,416,4,4,318
322,420,4,4,319
326,424,4,4,320
330,428,4,4,321
334,432,4,4,322
338,436,4,4,323
342,440,4,4,323
346,444,4,4,323
350,448,4,4,323
354,452,4,4,324
358,456,4,4,324
362,460,4,4,325
366,464,4,4,326
370,468,4,4,327
374,472,4,4,328
378,476,4,4,329
382,480,4,4,330
386,484,4,4,331
390,488,4,4,332
394,492,4,4,335
398,496,4,4,336
402,500,4,4,338
406,504,4,4,340
410,508,4,4,342
414,512,4,4,344
418,516,4,4,346
422,520,4,4,348
426,524,4,4,351
430,528,4,4,353
434,532,4,4,355
438,536,4,4,357
442,540,4,4,360
446,544,4,4,361
450,548,4,4,363
454,552,4,4,365
458,556,4,4,367
462,560,4,4,372
466,564,4,4,373
470,568,4,4,373
474,572,4,4,373
478,576,4,4,373
482,580,4,4,373
486,576,4,-4,373
490,572,4,-4,373
494,568,4,-4,373
498,564,4,-4,373
502,560,4,-4,373
506,556,4,-4,373
510,552,4,-4,373
514,548,4,-4,373
518,544,4,-4,373
522,540,4,-4,373
526,536,4,-4,373
530,532,4,-4,373
534,528,4,-4,372
538,524,4,-4,371
542,520,4,-4,370
546,516,4,-4,369
550,512,4,-4,366
554,508,4,-4,360
558,504,4,-4,358
562,500,4,-4,356
566,496,4,-4,355
570,492,4,-4,353
574,488,4,-4,353
578,484,4,-4,352
582,480,4,-4,351
586,476,4,-4,351
590,472,4,-4,350
594,468,4,-4,349
598,464,4,-4,347
602,460,4,-4,346
606,456,4,-4,345
610,452,4,-4,344
614,448,4,-4,343
618,444,4,-4,342
622,440,4,-4,341
626,436,4,-4,340
630,432,4,-4,339
634,428,4,-4,338
638,424,4,-4,333
642,420,4,-4,331
646,416,4,-4,329
650,412,4,-4,328
654,408,4,-4,327
658,404,4,-4,325
662,400,4,-4,324
666,396,4,-4,322
670,392,4,-4,321
674,388,4,-4,318
678,384,4,-4,317
682,380,4,-4,314
686,376,4,-4,313
690,372,4,-4,308
694,368,4,-4,304
698,364,4,-4,302
702,360,4,-4,300
706,356,4,-4,298
710,352,4,-4,294
714,348,4,-4,291
718,344,4,-4,288
722,340,4,-4,286
726,336,4,-4,282
730,332,4,-4,281
734,328,4,-4,279
738,324,4,-4,277
742,320,4,-4,275
746,316,4,-4,272
750,312,4,-4,272
754,308,4,-4,272
758,304,4,-4,272
762,300,4,-4,272
766,296,4,-4,272
770,292,4,-4,271
770,292,-4,-4,271
766,288,-4,-4,270
762,284,-4,-4,270
758,280,-4,-4,270
754,276,-4,-4,270
750,272,-4,-4,270
746,268,-4,-4,270
742,264,-4,-4,270
738,260,-4,-4,270
734,256,-4,-4,270
730,252,-4,-4,270
726,248,-4,-4,270
722,244,-4,-4,270
718,240,-4,-4,270
714,236,-4,-4,270
710,232,-4,-4,270
706,228,-4,-4,270
702,224,-4,-4,270
698,220,-4,-4,270
694,216,-4,-4,270
690,212,-4,-4,270
686,208,-4,-4,270
682,204,-4,-4,270
678,200,-4,-4,269
674,196,-4,-4,268
670,192,-4,-4,267
666,188,-4,-4,266
662,184,-4,-4,265
658,180,-4,-4,265
654,176,-4,-4,264
650,172,-4,-4,264
646,168,-4,-4,262
642,164,-4,-4,260
638,160,-4,-4,258
634,156,-4,-4,257
630,152,-4,-4,255
626,148,-4,-4,253
622,144,-4,-4,251
618,140,-4,-4,251
614,136,-4,-4,251
610,132,-4,-4,250
606,128,-4,-4,250
602,124,-4,-4,250
598,120,-4,-4,250
594,116,-4,-4,249
590,112,-4,-4,249
586,108,-4,-4,249
582,104,-4,-4,249
578,100,-4,-4,249
574,96,-4,-4,249
570,92,-4,-4,249
566,88,-4,-4,249
562,84,-4,-4,249
558,80,-4,-4,249
554,76,-4,-4,249
550,72,-4,-4,249
546,68,-4,-4,249
542,64,-4,-4,249
538,60,-4,-4,249
534,56,-4,-4,249
530,52,-4,-4,249
526,48,-4,-4,249
522,44,-4,-4,249
518,40,-4,-4,249
514,36,-4,-4,249
510,32,-4,-4,249
506,28,-4,-4,249
502,24,-4,-4,249
498,20,-4,-4,249
494,24,-4,4,249
490,28,-4,4,249
486,32,-4,4,249
482,36,-4,4,249
478,40,-4,4,249
474,44,-4,4,249
470,48,-4,4,249
466,52,-4,4,249
462,56,-4,4,249
458,60,-4,4,249
454,64,-4,4,249
450,68,-4,4,249
446,72,-4,4,249
442,76,-4,4,249
438,80,-4,4,249
434,84,-4,4,249
430,88,-4,4,249
426,92,-4,4,249
422,96,-4,4,249
418,100,-4,4,249
414,104,-4,4,249
410,108,-4,4,249
406,112,-4,4,249
402,116,-4,4,249
398,120,-4,4,249
394,124,-4,4,249
390,128,-4,4,249
386,132,-4,4,249
382,136,-4,4,249
378,140,-4,4,249
374,144,-4,4,249
370,148,-4,4,249
366,152,-4,4,249
362,156,-4,4,249
358,160,-4,4,249
354,164,-4,4,249
350,168,-4,4,249
346,172,-4,4,249
342,176,-4,4,249
338,180,-4,4,249
334,184,-4,4,249
330,188,-4,4,249
326,192,-4,4,249
322,196,-4,4,249
318,200,-4,4,249
314,204,-4,4,249
310,208,-4,4,249
306,212,-4,4,249
302,216,-4,4,249
298,220,-4,4,249
294,224,-4,4,249
290,228,-4,4,249
286,232,-4,4,249
282,236,-4,4,249
278,240,-4,4,249
274,244,-4,4,249
270,248,-4,4,249
266,252,-4,4,249
262,256,-4,4,249
258,260,-4,4,249
254,264,-4,4,249
250,268,-4,4,249
246,272,-4,4,249
242,276,-4,4,249
238,280,-4,4,249
234,284,-4,4,249
230,288,-4,4,249
